iter,ep_reward_mean,ep_reward_min,ep_reward_max,ep_len_mean,n_episodes,battery_failure_rate,n_battery_failures,charge_fraction,image_fraction,loss_total,loss_policy,loss_value,entropy
23,10.23950760571394,-7.788132091950973,22.139589590248853,94.19047619047619,21,0.047619047619047616,1,0.15087890625,0.84912109375,0.6398525198805146,-0.0066020311583997685,1.3173677982762455,1.2229347135871649
24,12.026359596699427,4.294843473666654,23.165496961231874,98.25,20,0.0,0,0.1572265625,0.8427734375,0.5539721782784909,-0.0115584040642716,1.1546612745150924,1.1800054386258125
25,11.848492739899608,-2.093950762974778,28.474927189986715,100.0,20,0.05,1,0.1455078125,0.8544921875,0.7843146953731776,-0.007565598451765254,1.6069484224542976,1.1593917425721885
26,13.267541943873919,-6.07362591863213,32.11349700976814,99.3,20,0.05,1,0.14794921875,0.85205078125,0.8188498757779599,-0.007092882353754248,1.6747890826314689,1.1451782301068305
27,13.952178102632228,3.8485179071326985,27.584965636298747,101.8,20,0.0,0,0.17919921875,0.82080078125,0.7250722595956176,-0.007355186817949289,1.4875591836869717,1.1352145258337258
28,13.229550055927774,3.7796947656986575,24.800982323681644,101.55,20,0.0,0,0.189453125,0.810546875,0.7166757079772651,-0.006595740578632103,1.468531590513885,1.0994348704814911
29,13.460770350988065,-1.3589775396589037,28.41051108853729,101.26315789473684,19,0.05263157894736842,1,0.1806640625,0.8193359375,0.969546934403479,-0.009213634300976992,1.9800667868927122,1.1272823389619588
30,14.58452496269069,3.717105345921982,24.557455634189104,107.05263157894737,19,0.0,0,0.17236328125,0.82763671875,0.7297857902012765,-0.00859867494145874,1.4991146434098481,1.117285555228591
31,15.35650534104611,4.810134450271268,28.817956381109568,107.15789473684211,19,0.0,0,0.16796875,0.83203125,0.7771798436064273,-0.005314250913215801,1.5872585739940406,1.1135192554444076
32,14.330627691870438,5.07107476920305,25.470878940309568,106.47368421052632,19,0.0,0,0.17626953125,0.82373046875,0.7729375466238707,-0.006384590006200596,1.5803872091695665,1.0871467227116227
