iter,ep_reward_mean,ep_reward_min,ep_reward_max,ep_len_mean,n_episodes,battery_failure_rate,n_battery_failures,charge_fraction,image_fraction,loss_total,loss_policy,loss_value,entropy
14,9.777164577329161,-1.2445402783864523,20.497627342659786,91.81818181818181,22,0.09090909090909091,2,0.15283203125,0.84716796875,0.691595304524526,-0.011819082759029698,1.4350217439234256,1.4096484743058681
15,10.456974372160683,2.8143013683446476,17.288520484771652,96.04761904761905,21,0.0,0,0.16845703125,0.83154296875,0.43096051798202095,-0.012046970101073385,0.9141226211562753,1.4053823497146367
16,9.159030723873089,-7.277753361617709,19.24948072908362,91.4090909090909,22,0.045454545454545456,1,0.16552734375,0.83447265625,0.5311348912771792,-0.00848714971652953,1.107182202860713,1.3969061456620693
17,9.883833847648326,-7.034310075892703,17.011391031506175,94.0,21,0.047619047619047616,1,0.15234375,0.84765625,0.48922951561398803,-0.00944160390936304,1.0250680519267916,1.386290642619133
18,9.520032437495379,-8.556035294010648,22.41423847945304,93.76190476190476,21,0.047619047619047616,1,0.15283203125,0.84716796875,0.589335091272369,-0.011369563359767198,1.228923680447042,1.3757185019552707
19,10.014506306065154,3.7309391316516063,16.82968946635147,94.28571428571429,21,0.0,0,0.14794921875,0.85205078125,0.42752717500552534,-0.007984829289489426,0.8970707442611456,1.30233698412776
20,10.255124523860154,-7.319358007151906,22.83446794841942,90.27272727272727,22,0.09090909090909091,2,0.13623046875,0.86376953125,0.8261370256543159,-0.010606607143563452,1.6988892106339335,1.2700971078127623
21,10.314575672330678,-6.71199672335497,20.63722221466079,91.13636363636364,22,0.045454545454545456,1,0.1767578125,0.8232421875,0.6061694683274255,-0.009174951000022701,1.2557928625494241,1.2552012093365192
22,10.577996867230436,-7.958829543474238,21.909635371171916,91.33333333333333,21,0.09523809523809523,2,0.15771484375,0.84228515625,0.8899946860969067,-0.008628804027102888,1.8222509479150175,1.2501980904489756
23,11.437519120727945,4.209444271051737,21.993595979896956,96.35,20,0.0,0,0.1650390625,0.8349609375,0.5911099330987781,-0.009017498758475994,1.2251217171549798,1.2433425202965736
24,12.095222021347615,4.294843473666653,25.202932588546332,98.5,20,0.0,0,0.1435546875,0.8564453125,0.526657115155831,-0.01083403551892843,1.0999391494318842,1.247842563316226
25,10.29822724127234,-8.971129368428697,23.704005036691722,90.5909090909091,22,0.13636363636363635,3,0.134765625,0.865234375,1.0120033626910299,-0.011753492886782624,2.0716066172346475,1.2046451188623906
26,13.076080073895682,4.294843473666654,29.111265153726087,102.1,20,0.0,0,0.15673828125,0.84326171875,0.6868290803395212,-0.006855705691850744,1.410366545431316,1.1498490680009126
27,12.757619853789198,3.8335408880327138,25.86365438271139,100.0,20,0.0,0,0.17138671875,0.82861328125,0.6377340132370591,-0.006568542521563359,1.312600958906114,1.1997924637049437
28,11.129438196152572,-8.014038654748697,22.137899523091008,93.71428571428571,21,0.047619047619047616,1,0.17822265625,0.82177734375,0.841785705066286,-0.007849583195638842,1.7223610173910857,1.1545215353369713
29,11.27525437289859,-8.946329814250731,26.643048155870524,92.47619047619048,21,0.09523809523809523,2,0.17041015625,0.82958984375,1.091364547610283,-0.006731455572298728,2.219085852429271,1.1446922767907382
30,13.108016305833292,3.884913247535923,22.60085985530418,104.10526315789474,19,0.0,0,0.1787109375,0.8212890625,0.7225128269288689,-0.005637994161224924,1.4792253287509083,1.146184568107128
31,14.263177687811934,4.494325557054605,26.048153330674133,103.84210526315789,19,0.0,0,0.1767578125,0.8232421875,0.8189440929330886,-0.008518324194301385,1.6774670049548148,1.1271085921674966
32,14.636496516009094,5.922387530054462,24.646909475715177,106.3157894736842,19,0.0,0,0.1591796875,0.8408203125,0.7697416577022522,-0.00857144137553405,1.5785117911174893,1.0942795533686875
